Temp (C),Pressure (bar),Moisture Level 1,Moisture Level 2,Light Level,Date,Time
21.73,1.0054,100,100,43,2024-01-20,14:49
22.11,1.0054,100,100,44,2024-01-20,14:49
22.15,1.0054,100,100,48,2024-01-20,14:49
22.18,1.0054,100,100,48,2024-01-20,14:49
22.31,1.0054,94,100,50,2024-01-20,14:49
22.49,1.0054,44,100,44,2024-01-20,14:49
22.69,1.0054,40,100,43,2024-01-20,14:49
22.88,1.0054,56,100,46,2024-01-20,14:49
23.01,1.0054,92,100,51,2024-01-20,14:49
23.13,1.0054,31,100,36,2024-01-20,14:49
23.18,1.0054,100,100,38,2024-01-20,14:49
23.21,1.0054,100,100,41,2024-01-20,14:49
23.22,1.0054,100,100,43,2024-01-20,14:49
23.24,1.0054,100,100,52,2024-01-20,14:49
23.29,1.0054,100,100,33,2024-01-20,14:49
23.38,1.0054,100,100,33,2024-01-20,14:49
23.53,1.0054,100,100,32,2024-01-20,14:50
23.70,1.0054,100,100,33,2024-01-20,14:50
23.88,1.0054,100,100,26,2024-01-20,14:50
23.94,1.0054,100,100,18,2024-01-20,14:50
23.99,1.0054,100,100,38,2024-01-20,14:50
24.05,1.0054,100,100,43,2024-01-20,14:50
21.86,0.6638,38,31,58,2024-01-20,14:50
21.86,0.6638,100,100,58,2024-01-20,14:50
21.86,0.6638,100,100,58,2024-01-20,14:50
21.86,0.6638,100,100,58,2024-01-20,14:50
21.86,0.6638,100,100,58,2024-01-20,14:50
21.86,0.6638,100,100,58,2024-01-20,14:50
21.86,0.6638,100,100,58,2024-01-20,14:50
21.86,0.6638,100,100,58,2024-01-20,14:50
21.86,0.6638,100,100,58,2024-01-20,14:50
21.86,0.6638,100,100,58,2024-01-20,14:50
21.86,0.6638,100,100,58,2024-01-20,14:50
21.86,0.6638,100,100,58,2024-01-20,14:50
21.86,0.6638,100,100,58,2024-01-20,14:50
