Temp (C),Pressure (bar),Moisture Level 1,Moisture Level 2,Light Level,Date,Time
19.86,0.9910,100,100,11,2023-12-29,12:01
20.24,0.9910,100,100,11,2023-12-29,12:01
20.29,0.9910,100,100,10,2023-12-29,12:01
20.31,0.9910,100,100,10,2023-12-29,12:01
20.33,0.9910,100,100,10,2023-12-29,12:01
20.35,0.9910,100,100,10,2023-12-29,12:01
20.36,0.9910,100,100,10,2023-12-29,12:01
20.43,0.9910,66,100,9,2023-12-29,12:01
20.47,0.9910,76,100,11,2023-12-29,12:01
20.49,0.9910,100,100,11,2023-12-29,12:01
20.50,0.9910,100,100,10,2023-12-29,12:01
20.51,0.9910,100,100,9,2023-12-29,12:01
20.52,0.9910,100,100,9,2023-12-29,12:01
20.51,0.9910,100,100,8,2023-12-29,12:01
20.57,0.9910,34,100,16,2023-12-29,12:01
