Temp (C),Pressure (bar),Moisture Level 1,Moisture Level 2,Light Level,Date,Time
21.91,0.9896,100,100,16,2023-12-29,14:49
21.88,0.9896,100,100,19,2023-12-29,14:49
21.88,0.9896,100,100,17,2023-12-29,14:49
21.88,0.9896,100,100,18,2023-12-29,14:49
21.88,0.9896,100,100,18,2023-12-29,14:49
21.89,0.9896,100,100,18,2023-12-29,14:49
21.88,0.9896,100,100,19,2023-12-29,14:49
21.88,0.9896,100,100,20,2023-12-29,14:49
21.87,0.9896,100,100,20,2023-12-29,14:49
21.88,0.9896,100,100,20,2023-12-29,14:49
21.88,0.9896,100,100,20,2023-12-29,14:49
21.87,0.9896,100,100,20,2023-12-29,14:49
21.87,0.9896,100,100,19,2023-12-29,14:49
21.87,0.9896,100,100,20,2023-12-29,14:49
21.87,0.9896,100,100,19,2023-12-29,14:49
21.87,0.9896,100,100,20,2023-12-29,14:49
21.86,0.9896,100,100,20,2023-12-29,14:49
21.86,0.9896,100,100,20,2023-12-29,14:49
21.86,0.9896,100,100,20,2023-12-29,14:49
21.86,0.9896,100,100,20,2023-12-29,14:49
21.85,0.9896,100,100,20,2023-12-29,14:49
21.86,0.9896,100,100,20,2023-12-29,14:49
21.85,0.9896,100,100,19,2023-12-29,14:50
21.85,0.9896,100,100,20,2023-12-29,14:50
21.85,0.9896,100,100,20,2023-12-29,14:50
21.85,0.9896,100,100,17,2023-12-29,14:50
21.86,0.9896,100,100,17,2023-12-29,14:50
21.86,0.9896,100,100,18,2023-12-29,14:50
21.94,0.9896,100,0,17,2023-12-29,14:50
21.96,0.9896,100,100,7,2023-12-29,14:50
21.97,0.9896,83,100,12,2023-12-29,14:50
22.01,0.9896,55,100,37,2023-12-29,14:50
22.03,0.9896,100,100,33,2023-12-29,14:50
22.11,0.9896,100,100,36,2023-12-29,14:50
22.24,0.9896,42,100,24,2023-12-29,14:50
22.32,0.9896,70,50,24,2023-12-29,14:50
22.39,0.9896,53,62,23,2023-12-29,14:50
22.46,0.9896,68,73,30,2023-12-29,14:50
22.51,0.9896,28,46,34,2023-12-29,14:50
22.57,0.9896,57,62,31,2023-12-29,14:50
22.66,0.9896,33,53,23,2023-12-29,14:50
22.72,0.9896,39,78,23,2023-12-29,14:50
22.78,0.9895,23,31,33,2023-12-29,14:50
22.83,0.9896,26,27,40,2023-12-29,14:50
22.87,0.9896,85,40,33,2023-12-29,14:50
22.92,0.9896,86,36,33,2023-12-29,14:51
22.96,0.9896,80,51,25,2023-12-29,14:51
23.02,0.9896,90,100,23,2023-12-29,14:51
23.04,0.9896,29,100,30,2023-12-29,14:51
23.05,0.9896,30,100,30,2023-12-29,14:51
23.06,0.9896,49,62,30,2023-12-29,14:51
23.05,0.9896,31,93,30,2023-12-29,14:51
23.05,0.9896,34,100,30,2023-12-29,14:51
23.06,0.9896,34,73,30,2023-12-29,14:51
23.09,0.9896,39,33,30,2023-12-29,14:51
23.17,0.9896,94,34,32,2023-12-29,14:51
23.27,0.9896,100,34,32,2023-12-29,14:51
23.36,0.9896,28,36,33,2023-12-29,14:51
23.48,0.9896,28,36,33,2023-12-29,14:51
23.48,0.9896,28,36,34,2023-12-29,14:51
23.47,0.9896,27,34,34,2023-12-29,14:51
23.44,0.9896,33,35,26,2023-12-29,14:51
23.42,0.9896,62,100,24,2023-12-29,14:51
23.40,0.9896,91,100,22,2023-12-29,14:51
23.39,0.9896,41,32,20,2023-12-29,14:51
23.42,0.9896,21,13,6,2023-12-29,14:51
23.44,0.9896,10,11,7,2023-12-29,14:51
23.45,0.9896,100,7,28,2023-12-29,14:51
23.42,0.9896,9,10,18,2023-12-29,14:51
23.42,0.9896,100,7,14,2023-12-29,14:51
23.41,0.9896,100,7,28,2023-12-29,14:52
23.39,0.9896,100,7,26,2023-12-29,14:52
23.37,0.9896,13,9,7,2023-12-29,14:52
23.36,0.9896,7,11,6,2023-12-29,14:52
23.35,0.9896,14,16,6,2023-12-29,14:52
23.33,0.9896,11,9,10,2023-12-29,14:52
23.31,0.9896,11,11,27,2023-12-29,14:52
23.29,0.9896,10,72,28,2023-12-29,14:52
23.28,0.9896,10,53,27,2023-12-29,14:52
23.26,0.9896,8,53,28,2023-12-29,14:52
23.25,0.9896,10,7,28,2023-12-29,14:52
23.23,0.9896,65,7,31,2023-12-29,14:52
23.21,0.9896,69,7,31,2023-12-29,14:52
23.19,0.9896,70,7,30,2023-12-29,14:52
23.18,0.9896,9,7,30,2023-12-29,14:52
23.17,0.9896,9,7,32,2023-12-29,14:52
23.15,0.9896,11,8,31,2023-12-29,14:52
23.13,0.9896,11,7,30,2023-12-29,14:52
23.12,0.9896,13,7,31,2023-12-29,14:52
23.10,0.9896,12,8,30,2023-12-29,14:52
23.09,0.9896,11,7,29,2023-12-29,14:52
23.07,0.9896,11,7,32,2023-12-29,14:52
23.05,0.9896,11,8,31,2023-12-29,14:52
23.02,0.9896,12,7,32,2023-12-29,14:52
23.00,0.9896,13,8,30,2023-12-29,14:53
22.99,0.9896,12,8,30,2023-12-29,14:53
22.96,0.9896,12,8,31,2023-12-29,14:53
22.95,0.9896,13,8,31,2023-12-29,14:53
22.92,0.9896,13,8,31,2023-12-29,14:53
22.90,0.9896,13,8,31,2023-12-29,14:53
22.88,0.9896,13,8,30,2023-12-29,14:53
22.87,0.9896,12,7,30,2023-12-29,14:53
22.86,0.9896,12,8,30,2023-12-29,14:53
22.85,0.9896,12,8,30,2023-12-29,14:53
22.83,0.9896,12,8,30,2023-12-29,14:53
22.82,0.9896,12,8,30,2023-12-29,14:53
22.80,0.9896,12,8,30,2023-12-29,14:53
22.79,0.9896,12,8,30,2023-12-29,14:53
22.78,0.9896,12,8,31,2023-12-29,14:53
22.77,0.9896,12,8,31,2023-12-29,14:53
22.75,0.9896,12,8,31,2023-12-29,14:53
22.75,0.9896,12,8,30,2023-12-29,14:53
22.73,0.9896,12,8,29,2023-12-29,14:53
22.72,0.9896,12,8,30,2023-12-29,14:53
22.71,0.9896,12,8,30,2023-12-29,14:53
22.70,0.9896,12,8,29,2023-12-29,14:53
22.69,0.9896,12,8,30,2023-12-29,14:53
22.68,0.9896,12,8,30,2023-12-29,14:53
22.66,0.9896,12,8,32,2023-12-29,14:54
22.64,0.9896,12,8,31,2023-12-29,14:54
22.63,0.9896,12,8,30,2023-12-29,14:54
22.62,0.9896,12,8,29,2023-12-29,14:54
22.61,0.9896,12,9,31,2023-12-29,14:54
22.60,0.9896,12,8,31,2023-12-29,14:54
22.59,0.9896,12,8,29,2023-12-29,14:54
22.58,0.9896,11,8,30,2023-12-29,14:54
22.57,0.9896,12,8,30,2023-12-29,14:54
22.56,0.9896,12,8,30,2023-12-29,14:54
22.56,0.9896,12,9,30,2023-12-29,14:54
22.55,0.9896,12,9,30,2023-12-29,14:54
22.55,0.9896,12,8,30,2023-12-29,14:54
22.54,0.9896,12,9,29,2023-12-29,14:54
22.53,0.9896,12,8,31,2023-12-29,14:54
22.53,0.9896,12,9,30,2023-12-29,14:54
22.53,0.9896,11,8,30,2023-12-29,14:54
22.52,0.9897,11,8,31,2023-12-29,14:54
22.51,0.9896,12,8,31,2023-12-29,14:54
